Author,Species,Plant_taxonomy,Plant_type,Longitude,Latitude,Elevation,Measurement_year,Vcmax_reported,Jmax_reported ,Vcmax_25C,Jmax_25C,Leaf_N ,Leaf_P,SLA,Needle_age,Treatment_CO2,Treatment_N,Treatment_P,Treatment_light,Treatment_other,Treatment_other_levels,Measurement_temperature,Photosynthetic_reference,Kinetic_reference,Km,Kc,Ko,Tau,Gamma_star,Wj_reference,J_reference,J_flag,Irradiance,Alpha,Theta,O2_reported,Notes
Turnbull et al 2007,Eucalyptus globulus,A,E,142.05,-37.03,470,not reported,64.14,197.59,89.69,192.37,2.05,0.22,09,not applicable,not applicable,not applicable,not applicable,not applicable,crown removal amount and timing afterwards,50% week 1,24,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,2000,0,0,0,
Zhang & Dang  2006,Betula papyrifera,A,D,89.14,48.22,200,2004,55.61,91.83,42.86,80.49,0.66,0.13,09,not applicable,ele,low,low,not applicable,months post treatment initiation,3.5,26,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,800,0,0,0,
Zhang & Dang  2006,Betula papyrifera,A,D,89.14,48.22,200,2004,58.22,92.86,44.87,81.37,0.89,0.06,09,not applicable,amb,low,low,not applicable,months post treatment initiation,2.5,26,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,800,0,0,0,
Zhang & Dang  2006,Betula papyrifera,A,D,89.14,48.22,200,2004,59.69,85.71,46.00,75.25,0.61,0.14,09,not applicable,amb,low,low,not applicable,months post treatment initiation,3.5,26,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,800,0,0,0,
Zhang & Dang  2006,Betula papyrifera,A,D,89.14,48.22,200,2004,67.22,103.57,51.81,90.48,0.64,0.06,09,not applicable,ele,low,low,not applicable,months post treatment initiation,2.5,26,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,800,0,0,0,
Zhang & Dang  2006,Betula papyrifera,A,D,89.14,48.22,200,2004,87.57,182.14,67.49,154.15,1.47,0.09,09,not applicable,amb,high,high,not applicable,months post treatment initiation,2.5,26,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,800,0,0,0,
Zhang & Dang  2006,Betula papyrifera,A,D,89.14,48.22,200,2004,97.04,192.86,74.79,162.32,1.60,0.09,09,not applicable,ele,high,high,not applicable,months post treatment initiation,2.5,26,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,800,0,0,0,
Zhang & Dang  2006,Betula papyrifera,A,D,89.14,48.22,200,2004,110.26,202.12,84.98,169.28,1.36,0.14,09,not applicable,amb,high,high,not applicable,months post treatment initiation,3.5,26,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,800,0,0,0,
Zhang & Dang  2006,Betula papyrifera,A,D,89.14,48.22,200,2004,123.97,281.36,95.54,224.38,1.44,0.17,09,not applicable,ele,high,high,not applicable,months post treatment initiation,3.5,26,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,800,0,0,0,
Turnbull et al 2007,Eucalyptus globulus,A,E,142.05,-37.03,470,not reported,89.23,298.24,95.37,245.72,2.65,0.23,09,not applicable,not applicable,not applicable,not applicable,not applicable,crown removal amount and timing afterwards,70% week 1,27,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,2000,0,0,0,
Midgley et al 1999,Leucadendron  meridianum,G,E,20.00,-34.50,120,not reported,15.30,30.50,10.45,21.00,0.59,0,09,not applicable,ele,low,low,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  laureolum,G,E,20.00,-34.50,120,not reported,16.50,40.00,11.27,27.22,0.74,0,09,not applicable,ele,low,low,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  meridianum,G,E,20.00,-34.50,120,not reported,22.70,42.30,15.51,28.71,0.63,0,09,not applicable,amb,low,low,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  meridianum,A,E,20.00,-34.50,120,not reported,23.00,49.80,15.71,33.50,0.74,0,09,not applicable,ele,high,high,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  coniferum,A,E,20.00,-34.50,120,not reported,23.90,54.50,16.33,36.47,0.48,0,09,not applicable,ele,low,low,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  coniferum,A,E,20.00,-34.50,120,not reported,26.60,53.10,18.17,35.59,0.57,0,09,not applicable,amb,low,low,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  coniferum,A,E,20.00,-34.50,120,not reported,27.30,47.90,18.65,32.29,0.57,0,09,not applicable,ele,high,high,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  laureolum,G,E,20.00,-34.50,120,not reported,35.80,83.50,24.46,54.24,0.88,0,09,not applicable,ele,high,high,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  meridianum,A,E,20.00,-34.50,120,not reported,36.10,58.10,24.66,38.72,0.65,0,09,not applicable,amb,high,high,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  laureolum,G,E,20.00,-34.50,120,not reported,37.20,78.20,25.42,51.05,0.76,0,09,not applicable,amb,low,low,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron xanthoconus,G,E,20.00,-34.50,120,not reported,38.00,96.60,25.96,62.02,0.85,0,09,not applicable,ele,low,low,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  coniferum,A,E,20.00,-34.50,120,not reported,40.90,78.30,27.94,51.12,0.62,0,09,not applicable,amb,high,high,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron xanthoconus,G,E,20.00,-34.50,120,not reported,45.80,107.40,31.29,68.34,1.11,0,09,not applicable,ele,high,high,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron xanthoconus,G,E,20.00,-34.50,120,not reported,46.00,100.10,31.43,64.08,0.86,0,09,not applicable,amb,low,low,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
Midgley et al 1999,Leucadendron  laureolum,G,E,20.00,-34.50,120,not reported,56.40,124.60,38.53,78.26,0.98,0,09,not applicable,amb,high,high,not applicable,not applicable,not applicable,29,not applicable,Farquhar et al 1980,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1100,0,0,0,study temperature reported as 29 (+/-1)
