Author,Species,Plant_taxonomy,Plant_type,Longitude,Latitude,Elevation,Measurement_year,Vcmax_reported,Jmax_reported ,Vcmax_25C,Jmax_25C,Leaf_N ,Leaf_P,SLA,Needle_age,Treatment_CO2,Treatment_N,Treatment_P,Treatment_light,Treatment_other,Treatment_other_levels,Measurement_temperature,Photosynthetic_reference,Kinetic_reference,Km,Kc,Ko,Tau,Gamma_star,Wj_reference,J_reference,J_flag,Irradiance,Alpha,Theta,O2_reported,Notes
Han et al 2008,Pinus densiflora,G,E,138.80,35.45,1030,2002/2003,48.50,0,44.15,0,1.90,0,0.006,<1,not applicable,not applicable,not applicable,lower,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Harley et al 1992,no,1800,0.24,0,0,
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,49.20,106.73,48.03,81.14,2.92,0,0.006,<1,not applicable,not applicable,not applicable,lower,tree age,82,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Porte & Loustau 1998,Pinus pinaster,G,E,-0.46,44.42,60,1995,37.80,97.80,36.85,96.04,1.53,0.10,0.007,2,not applicable,not applicable,not applicable,lower,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar and Wong 1984,no,1400,0.14,0.95,20.00,
Bauer et al 2001,Picea rubens,G,E,-71.03,42.21,40,1997,53.16,87.99,53.13,77.10,0.84,0,0.007,<1,ele,low,not applicable,not applicable,not applicable,not applicable,28.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,study temperature reported as a range of 27 to 30 (not individually reported)
Bauer et al 2001,Picea rubens,G,E,-71.03,42.21,40,1997,66.71,106.67,66.67,93.33,1.27,0,0.007,<1,amb,low,not applicable,not applicable,not applicable,not applicable,28.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,study temperature reported as a range of 27 to 30 (not individually reported)
Bauer et al 2001,Pinus strobus,G,E,-71.03,42.21,40,1997,66.86,120.49,66.82,105.30,1.28,0,0.007,<1,ele,low,not applicable,not applicable,not applicable,not applicable,28.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,study temperature reported as a range of 27 to 30 (not individually reported)
Bauer et al 2001,Pinus strobus ,G,E,-71.03,42.21,40,1997,121.28,207.03,121.21,178.94,1.32,0,0.007,<1,amb,low,not applicable,not applicable,not applicable,not applicable,28.5,not applicable,Harley et al 1992,0,0,0,0,0,standard,Harley et al 1992,no,1500,0,0,0,study temperature reported as a range of 27 to 30 (not individually reported)
Sholtis et al 2004,Liquidambar styraciflua,A,D,-84.20,35.54,280,2000,81.65,117.78,39.96,80.98,1.78,0,0.007,not applicable,ele,not applicable,not applicable,not applicable,not applicable,not applicable,31.5,not applicable,Bauer et al 2001,0,0,0,0,0,standard,Harley et al 1992,no,1800,0,0,0,study temperature reported as a range of 27 to 36 (not individually specified)
Merilo et al 2009,Picea abies,G,E ,27.27,58.25,40,2005,44.04,104.65,43.00,79.70,1.47,0,0.007,<1,not applicable,not applicable,not applicable,lower,tree age,13,25,not applicable,Mcmurtrie and Wang 1993,0,0,0,0,0,Von Caemmerer and Farquhar 1981,Von Caemmerer and Farquhar 1981,no,1000,0,0,0,
Porte & Loustau 1998,Pinus pinaster,G,E,-0.46,44.42,60,1995,50.10,98.90,48.84,97.12,1.48,0.09,0.008,1,not applicable,not applicable,not applicable,lower,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,Farquhar and Wong 1984,no,1400,0.14,0.95,20.00,
Manter et al 2005,Pseudotsuga menziezii,A,E,-122.40,45.31,75,2002,23.77,0,23.15,0,0.84,0.41,0.008,<1,not applicable,1,not applicable,not applicable,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,not applicable,no,1500,0,0,21.00,
Manter et al 2005,Pseudotsuga menziezii,A,E,-122.40,45.31,75,2002,30.60,0,29.80,0,1.00,0.48,0.008,<1,not applicable,2,not applicable,not applicable,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,not applicable,no,1500,0,0,21.00,
Manter et al 2005,Pseudotsuga menziezii,A,E,-122.40,45.31,75,2002,35.62,0,34.69,0,1.19,0.54,0.008,<1,not applicable,3,not applicable,not applicable,not applicable,not applicable,25,not applicable,Farquhar et al 1980,0,0,0,0,0,standard,not applicable,no,1500,0,0,21.00,
